Test loss: tensor(0.8182, device='cuda:0')accuary:0.03375
Test loss: tensor(0.8054, device='cuda:0')accuary:0.04625
Test loss: tensor(0.7995, device='cuda:0')accuary:0.0475
Test loss: tensor(0.7999, device='cuda:0')accuary:0.055
Test loss: tensor(0.7977, device='cuda:0')accuary:0.05375
Test loss: tensor(0.7984, device='cuda:0')accuary:0.0575
Test loss: tensor(0.8056, device='cuda:0')accuary:0.0475
Test loss: tensor(0.8110, device='cuda:0')accuary:0.03375
Test loss: tensor(0.8029, device='cuda:0')accuary:0.04
Test loss: tensor(0.8049, device='cuda:0')accuary:0.0475
Test loss: tensor(0.7981, device='cuda:0')accuary:0.04125
Test loss: tensor(0.7927, device='cuda:0')accuary:0.0425
Test loss: tensor(0.7954, device='cuda:0')accuary:0.04625
Test loss: tensor(0.7771, device='cuda:0')accuary:0.05875
Test loss: tensor(0.7761, device='cuda:0')accuary:0.0525
Test loss: tensor(0.7701, device='cuda:0')accuary:0.05875
Test loss: tensor(0.7763, device='cuda:0')accuary:0.06
Test loss: tensor(0.7738, device='cuda:0')accuary:0.045
Test loss: tensor(0.7674, device='cuda:0')accuary:0.04875
Test loss: tensor(0.7621, device='cuda:0')accuary:0.0575
